Record_ID,Employee_ID,Flight_Number,Spec_ID,Start_Time,End_Time,Duration_Seconds,Accuracy_Score,Items_Packed,Rework_Flag,Supervisor_Notes
PKG066,EMP001,LX755,SPEC_D03,2025-10-13 07:23:48,2025-10-13 07:24:49,61,Pass,16,No,
PKG067,EMP011,LX760,SPEC_C02,2025-10-13 07:04:01,2025-10-13 07:04:54,53,Pass,13,No,
PKG068,EMP014,LX740,SPEC_D01,2025-10-13 07:50:44,2025-10-13 07:52:09,85,Minor Error,14,No,Missing one snack item
PKG069,EMP014,LX745,SPEC_B01,2025-10-13 09:18:04,2025-10-13 09:19:31,87,Pass,16,No,
PKG070,EMP018,LX721,SPEC_C01,2025-10-13 07:48:20,2025-10-13 07:49:01,41,Rework Required,12,Yes,Slow due to product shortage
PKG071,EMP020,LX740,SPEC_D02,2025-10-13 08:30:38,2025-10-13 08:31:49,71,Minor Error,16,No,Missing one snack item
PKG072,EMP017,LX750,SPEC_B01,2025-10-13 09:29:54,2025-10-13 09:30:19,25,Pass,16,No,Improved speed
PKG073,EMP020,LX740,SPEC_A02,2025-10-13 07:34:08,2025-10-13 07:35:02,54,Pass,12,No,
PKG074,EMP005,LX721,SPEC_A01,2025-10-13 07:36:51,2025-10-13 07:38:06,75,Minor Error,15,No,Item swapped position
PKG075,EMP015,LX745,SPEC_B02,2025-10-13 08:14:51,2025-10-13 08:16:09,78,Pass,16,No,
PKG076,EMP005,LX721,SPEC_A02,2025-10-13 08:26:05,2025-10-13 08:26:48,43,Minor Error,12,No,
PKG077,EMP002,LX755,SPEC_B02,2025-10-13 07:03:08,2025-10-13 07:04:21,73,Minor Error,15,No,
PKG078,EMP017,LX755,SPEC_C02,2025-10-13 08:30:51,2025-10-13 08:32:10,79,Pass,12,No,Improved speed
PKG079,EMP015,LX730,SPEC_D02,2025-10-13 08:32:53,2025-10-13 08:33:41,48,Pass,14,No,
PKG080,EMP017,LX750,SPEC_B02,2025-10-13 07:44:59,2025-10-13 07:46:10,71,Pass,15,No,
PKG081,EMP008,LX735,SPEC_C02,2025-10-13 07:57:18,2025-10-13 07:58:42,84,Minor Error,11,No,Missing one snack item
PKG082,EMP005,LX733,SPEC_D01,2025-10-13 07:11:43,2025-10-13 07:12:25,42,Pass,14,No,
PKG083,EMP014,LX740,SPEC_D03,2025-10-13 08:37:13,2025-10-13 08:38:21,68,Pass,15,No,
PKG084,EMP014,LX745,SPEC_A01,2025-10-13 09:07:12,2025-10-13 09:08:15,63,Pass,14,No,
PKG085,EMP012,LX735,SPEC_D01,2025-10-13 08:24:25,2025-10-13 08:25:48,83,Pass,16,No,Improved speed
PKG086,EMP020,LX733,SPEC_D02,2025-10-13 07:29:55,2025-10-13 07:30:44,49,Pass,15,No,
PKG087,EMP001,LX745,SPEC_C02,2025-10-13 08:20:24,2025-10-13 08:21:00,36,Minor Error,12,No,Missing one snack item
PKG088,EMP020,LX755,SPEC_A01,2025-10-13 08:17:35,2025-10-13 08:19:05,90,Pass,15,No,
PKG089,EMP003,LX745,SPEC_B01,2025-10-13 08:36:04,2025-10-13 08:36:42,38,Minor Error,15,No,Layout unclear
PKG090,EMP013,LX740,SPEC_B02,2025-10-13 08:34:09,2025-10-13 08:35:05,56,Pass,16,No,
PKG091,EMP009,LX745,SPEC_C01,2025-10-13 06:52:21,2025-10-13 06:53:36,75,Pass,11,No,Improved speed
PKG092,EMP002,LX740,SPEC_B02,2025-10-13 09:27:31,2025-10-13 09:27:54,23,Pass,17,No,
PKG093,EMP001,LX733,SPEC_B02,2025-10-13 06:35:33,2025-10-13 06:36:07,34,Minor Error,15,No,Missing one snack item
PKG094,EMP016,LX726,SPEC_B02,2025-10-13 08:36:59,2025-10-13 08:37:46,47,Pass,16,No,
PKG095,EMP020,LX760,SPEC_A02,2025-10-13 07:14:43,2025-10-13 07:15:37,54,Minor Error,12,No,Item swapped position
PKG096,EMP010,LX760,SPEC_D01,2025-10-13 08:18:18,2025-10-13 08:18:58,40,Pass,14,No,Improved speed
PKG097,EMP008,LX726,SPEC_C01,2025-10-13 09:13:57,2025-10-13 09:14:27,30,Pass,13,No,
PKG098,EMP012,LX755,SPEC_D01,2025-10-13 08:11:11,2025-10-13 08:11:34,23,Pass,16,No,
PKG099,EMP001,LX745,SPEC_D02,2025-10-13 06:58:49,2025-10-13 06:59:59,70,Pass,15,No,
PKG100,EMP005,LX745,SPEC_B01,2025-10-13 08:52:28,2025-10-13 08:53:17,49,Pass,17,No,Improved speed
PKG101,EMP016,LX750,SPEC_D01,2025-10-13 09:11:47,2025-10-13 09:12:36,49,Pass,15,No,
PKG102,EMP003,LX735,SPEC_D02,2025-10-13 07:36:35,2025-10-13 07:37:49,74,Pass,16,No,Improved speed
PKG103,EMP013,LX740,SPEC_A01,2025-10-13 08:44:58,2025-10-13 08:45:54,56,Pass,13,No,
PKG104,EMP007,LX740,SPEC_C01,2025-10-13 08:02:56,2025-10-13 08:03:46,50,Pass,13,No,
PKG105,EMP018,LX721,SPEC_D03,2025-10-13 07:22:10,2025-10-13 07:22:35,25,Rework Required,15,Yes,Slow due to product shortage
PKG106,EMP014,LX750,SPEC_D03,2025-10-13 07:35:37,2025-10-13 07:36:52,75,Pass,16,No,
PKG107,EMP001,LX726,SPEC_C01,2025-10-13 07:30:30,2025-10-13 07:31:36,66,Pass,13,No,
PKG108,EMP010,LX760,SPEC_C02,2025-10-13 08:39:13,2025-10-13 08:40:38,85,Minor Error,13,No,Layout unclear
PKG109,EMP014,LX755,SPEC_C02,2025-10-13 08:06:04,2025-10-13 08:07:17,73,Pass,12,No,
PKG110,EMP009,LX733,SPEC_A02,2025-10-13 07:22:35,2025-10-13 07:23:30,55,Pass,12,No,Improved speed
PKG111,EMP006,LX733,SPEC_B02,2025-10-13 08:42:13,2025-10-13 08:43:03,50,Pass,17,No,Improved speed
PKG112,EMP017,LX760,SPEC_C01,2025-10-13 06:57:27,2025-10-13 06:58:06,39,Pass,12,No,
PKG113,EMP012,LX730,SPEC_C01,2025-10-13 06:33:51,2025-10-13 06:35:14,83,Rework Required,11,Yes,Training required
PKG114,EMP002,LX721,SPEC_D03,2025-10-13 07:49:46,2025-10-13 07:50:17,31,Minor Error,16,No,Item swapped position
PKG115,EMP001,LX760,SPEC_C01,2025-10-13 08:38:10,2025-10-13 08:39:26,76,Pass,12,No,
PKG116,EMP006,LX721,SPEC_C01,2025-10-13 08:40:27,2025-10-13 08:40:56,29,Minor Error,11,No,
PKG117,EMP016,LX726,SPEC_A01,2025-10-13 07:11:25,2025-10-13 07:11:59,34,Minor Error,15,No,Layout unclear
PKG118,EMP003,LX733,SPEC_A02,2025-10-13 09:02:23,2025-10-13 09:03:31,68,Pass,14,No,Improved speed
PKG119,EMP020,LX733,SPEC_D03,2025-10-13 08:13:52,2025-10-13 08:15:04,72,Minor Error,16,No,Layout unclear
PKG120,EMP019,LX745,SPEC_C01,2025-10-13 09:05:16,2025-10-13 09:05:38,22,Pass,13,No,
